location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
lake norman,charlotte,north carolina,April,April,5,7,2012,35.2270869,-80.8431267,https://www.bassmaster.com/tournaments/2012-bass-pro-shops-southern-open-2
lake mead,las vegas,nevada,April,April,7,10,1999,36.1699412,-115.1398296,https://www.bassmaster.com/tournaments/1999-nevada-bassmaster-top-150
louisiana delta,new orleans,louisiana,October,October,14,17,1998,29.95106579999999,-90.0715323,https://www.bassmaster.com/tournaments/1998-louisiana-bassmaster-top-150
chickamauga lake,chattanooga,tennessee,October,October,7,12,1991,35.0456297,-85.3096801,https://www.bassmaster.com/tournaments/1991-bassmaster-megabucks
illinois & mississippi rivers,alton,illinois,September,September,18,20,1991,38.8906038,-90.1842764,https://www.bassmaster.com/tournaments/1991-illinois-invitational
lake murray,columbia,south carolina,October,October,16,19,1991,34.0007104,-81.0348144,https://www.bassmaster.com/tournaments/1991-south-carolina-bassmaster-top-100
lake guntersville,guntersville,alabama,April,April,10,12,1991,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/alabama-invitational-6
truman reservoir,clinton,missouri,May,May,1,3,1991,38.3686324,-93.7782689,https://www.bassmaster.com/tournaments/missouri-invitational-5
st. johns river,palatka,florida,February,February,20,22,1991,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/1991-florida-invitational
lake okeechobee,clewiston,florida,January,January,16,18,1991,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/florida-invitational-12
lake guntersville,guntersville,alabama,November,November,5,10,1990,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/1990-bass-megabucks
potomac river,charles co.,maryland,October,October,10,12,1990,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/1990-maryland-invitational
st. lawrence river,clayton,new york,September,September,12,14,1990,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/new-york-invitational-7
lake okeechobee,clewiston,florida,January,January,24,26,1990,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/1990-florida-invitational
sam rayburn reservoir,sam rayburn,texas,March,March,14,16,1990,31.0640841,-94.03574499999999,https://www.bassmaster.com/tournaments/1990-texas-invitational
lake havasu,lake havasu city,arizona,November,November,15,17,1989,34.483901,-114.3224548,https://www.bassmaster.com/tournaments/1989-arizona-invitational
st. lawrence river,clayton,new york,September,September,13,15,1989,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/1989-new-york-invitational
kentucky lake,paris,tennessee,November,November,9,11,1988,36.3020023,-88.32671069999999,https://www.bassmaster.com/tournaments/1988-tennessee-invitational
bull shoals lake,bull shoals,arkansas,October,October,12,14,1988,36.383956,-92.58155269999999,https://www.bassmaster.com/tournaments/1988-arkansas-invitational
truman reservoir,clinton,missouri,September,September,21,23,1988,38.3686324,-93.7782689,https://www.bassmaster.com/tournaments/1988-missouri-invitational
clear lake,clearlake,california,April,April,13,15,2000,38.9582307,-122.6263728,https://www.bassmaster.com/tournaments/california-invitational-2
clarks hill reservoir,evans,georgia,September,September,18,20,2008,33.5337464,-82.1306747,https://www.bassmaster.com/tournaments/2008-wbt-4
chautaugua,jamestown,new york,September,September,17,17,2006,42.0970023,-79.23532589999999,https://www.bassmaster.com/tournaments/liberty-4-jamestown-bo
harris chain of lakes,leesburg,florida,February,February,3,6,2005,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/2005-tour-2
lake guntersville,guntersville,alabama,January,January,25,27,2007,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/bassmaster-series-championship
santee cooper,manning,south carolina,April,April,6,8,2006,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/2006-southern-tour-3
harris chain of lakes,leesburg,florida,January,January,9,12,2003,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/2003-bassmaster-tour-1
lake okeechobee,okeechobee city,florida,January,January,16,19,2003,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/florida-tour-pro-0
old hickory lake,gallatin,tennessee,June,June,19,21,2008,36.3883809,-86.4466599,https://www.bassmaster.com/tournaments/2008-wbt-3
neely henry lake,gadsden,alabama,May,May,22,24,2008,34.014264,-86.0066386,https://www.bassmaster.com/tournaments/2008-wbt-2
lake norman,lake norman,north carolina,July,July,27,29,2006,35.5019795,-80.918003,https://www.bassmaster.com/tournaments/2006-wbt-3-0
